product_id,product_title,description,item_number,gtin_number,upc_number,cooking_instructions,ingredients,sub_header,carton_size,case_pack_size,features_benefits,country_of_origin,cooking_methods,grades,market_segments,menu_occasions,brands,product_types,product_sizes,product_species,certifications,market_channels,Allergens
4002000,30/40 Colossal Lump Pelagicus crab meat,"<p>Our Colossal Lump ranges from 30 to 40 lumps of sweet white crab meat per can. This (Portunus spp) crab meat is available year round.</p>
",4002000,10073994004085,73994004040,"<p>Best used in crab cocktails, salads, and garnishes.</p>
","<p>crab meat (portunus spp). Contains sodium acid pyrophosphate to prevent the formation of struvite crystals.</p>
",30 to 40 Lumps of Sweet White Crab Meat,,6 CANS,"<ul>
	<li>From steamed live crabs for better flavor and texture</li>
	<li>Black light inspected to remove shell, making it virtually shell-free</li>
	<li>Year round production = dependable supply</li>
	<li>Counts on jumbo lump grades giving a consistent number of pieces.</li>
</ul>
","India, Thailand, Indonesia, Philippines, Vietnam",Ready to Eat,30/40 Colossal,"Business & Industry,Education,Healthcare,On-site - Travel and Leisure,On-site – Casinos,On-site – Lodging,Other – Catering,Other – Commissary,Other – Vending,Restaurants - Casual Dining,Restaurants - Fast Casual,Restaurants - Fine Dining,Restaurants - Quick Service,Restaurants – Catering,Restaurants – Midscale,Retail - Cash and Carry,Retail - Convenient Stores,Retail - Service Deli,Retail - Super Market,Retail - Warehouse Club","Breakfast,Brunch,Dinner,Lunch,Snack",Handy Seafood,PELAGICUS,1 LB.,Crab Meat,"DNA,NFI Crab Council,Ready to Eat","Foodservice, Retail Service Deli",Crustacean Shellfish
4002010,55/75 Jumbo Lump Pelagicus crab meat,"<p>Our Jumbo Lump ranges from 55 to 75 lumps of sweet white crab meat per can. This crab meat (Portunus spp) is available year round.</p>
",4002010,10073994004122,73994004002,"<p>Best used in gourmet crab cakes, salads, and crab cocktails.</p>
","<p>crab meat (portunus spp). Contains acid pyrophosphate to prevent the formation of struvite crystals.</p>
",55 to 75 Lumps of Sweet White Crab Meat,,6 CANS,"<ul>
	<li>From steamed live crabs for better flavor and texture</li>
	<li>Black light inspected to remove shell, making it virtually shell-free</li>
	<li>Year round production = dependable supply</li>
	<li>Counts on jumbo lump grades giving a consistent number of pieces.</li>
</ul>
","India, Thailand, Indonesia, Philippines, Vietnam",Ready to Eat,55/75 Jumbo Lump,"Business & Industry,Education,Healthcare,On-site - Travel and Leisure,On-site – Casinos,On-site – Lodging,Other – Catering,Other – Commissary,Other – Vending,Restaurants - Casual Dining,Restaurants - Fast Casual,Restaurants - Fine Dining,Restaurants - Quick Service,Restaurants – Catering,Restaurants – Midscale,Retail - Cash and Carry,Retail - Convenient Stores,Retail - Service Deli,Retail - Super Market,Retail - Warehouse Club","Breakfast,Brunch,Dinner,Lunch,Snack",Handy Seafood,PELAGICUS,1 LB.,Crab Meat,"DNA,NFI Crab Council,Ready to Eat","Foodservice, Retail Service Deli",Crustacean Shellfish
3103005,Bistro crab cakes,"<p>Handy’s Bistro Crab Cakes are the ideal size and shape for sandwiches.&nbsp;These flavorful crab cakes are crafted with sweet crab meat, scallions, a subtle hint of mustard, and a harmonious blend of herbs and spices. Each crab cake is hand-formed to ensure an authentic, homemade taste. Par-fried for a delightful combination of a crispy exterior and a tender, flavorful crab interior.</p>
",3103005,10073994005853,73994005856,"<p style=""text-align:justify; margin-bottom:11px"">The crab cakes contained in this package are par-fried and should be heated thoroughly to 165 °F. Depending on the number of portions prepared and oven temperature variances, heating times may need adjustment. Remove product from packaging. Avoid overcooking or undercooking, cook to a light golden brown.</p>

<p>BAKE: Preheat oven. Spray or coat pan with oil. Place crab cakes on pan and place pan on the middle rack of oven. Turn the crab cakes over once during cooking.</p>

<ul>
	<li>FROM THAWED: 375 °F for 10-12 minutes</li>
	<li>FROM FROZEN: 350 °F for 18-20 minutes</li>
</ul>

<p>If thawing, thaw under refrigeration or in microwave for 45 seconds on high.</p>

<p>Caution: Pan And Product Will Be Hot.</p>

<p>&nbsp;</p>

<h4>&nbsp;</h4>
","<p style=""text-align:justify; margin-bottom:11px"">INGREDIENTS: CRAB MEAT, SAUCE (FULLY REFINED SOYBEAN OIL, EGG AND EGG YOLK, WATER, SUGAR, VINEGAR, SALT, MUSTARD POWDER, ACETIC ACID, XANTHAN GUM), BREAD CRUMBS(UNBLEACHED WHEAT FLOUR, SALT, YEAST), EGGS, SCALLIONS, YELLOW MUSTARD (DISTILLED VINEGAR, WATER, MUSTARD SEED, SALT, TURMERIC, PAPRIKA, SPICE, NATURAL FLAVORS, GARLIC POWDER), WORCESTERSHIRE SAUCE (DISTILLED VINEGAR, MOLASSES, CORN SYRUP, WATER, SALT, CARAMEL COLOR, SUGAR, SPICES, ANCHOVIES, NATURAL FLAVOR [CONTAIN SOY], TAMARIND),SEASONING (CELERY SALT [SALT, CELERY SEED], SPICES [INCLUDING RED PEPPER AND BLACK PEPPER], PAPRIKA), SPICES. PAR-FRIED IN FULLY REFINED SOYBEAN OIL.</p>

<p>CONTAINS: CRUSTACEAN SHELLFISH (CRAB), SOY, EGGS, WHEAT, FISH (ANCHOVIES).</p>
",Delicious crab cakes that look and taste like homemade,7.28 x 1.67 x 10.63,2,"<ul>
	<li>Made with fresh crab meat from steamed crabs -&nbsp;Meat has better texture and flavor.</li>
	<li>Handmade&nbsp;for that&nbsp;back-of-the-house appearance.</li>
	<li>Portion control for&nbsp;consistent plate coverage and predictable food cost.</li>
	<li>Par-fried for a crispy exterior and tender, flavorful interior.</li>
	<li>Ready to cook -&nbsp;No preparation needed.</li>
</ul>
",Thailand,"Bake,Microwave",,"Retail - Cash and Carry,Retail - Convenient Stores,Retail - Service Deli,Retail - Super Market,Retail - Warehouse Club","Dinner,Lunch,Snack",Handy Seafood,,3 OZ. <,Crab Cakes,NFI Crab Council,"Foodservice, Retail Service Deli",Crustacean Shellfish
3303000,Carnival breaded crab cakes,"<p>Handy’s hand-formed Carnival Crab Cakes offer lumps of sweet fresh crab meat, ribboned with a smooth béchamel sauce and our signature spice blend. Our crab cakes are lightly coated with panko bread crumbs so that they’re crunchy on the outside and tender on the inside. All Handy crab cakes are gently hand-formed for a true homemade experience. Perfect with a dipping sauce for an appetizer, on a soft bun for lunch, or atop a chopped salad for dinner.</p>
",3303000,10073994005488,73994005481,"<p><span style=""font-size:12pt""><span style=""font-family:&quot;Times New Roman&quot;""><span style=""font-family:Arial"">The crab cakes contained in this package are precooked and should be&nbsp;heated through to an internal temperature of 160°F. Depending on the number of portions prepared and oven temperature variances, heating times may need adjustment.</span></span></span></p>

<h4>BAKE</h4>

<p>Preheat oven. Spray or coat pan with oil. Place pan on rack in middle of oven. Turn cakes once during cooking. For convection ovens, reduce cooking time by approximately 1/3.</p>

<ul>
	<li>375°F for 13-15 minutes if thawed</li>
	<li>350°F for 26-28 minutes if frozen</li>
</ul>

<p style=""margin:0in 0in 0.0001pt""><span style=""font-size:12pt""><span style=""font-family:&quot;Times New Roman&quot;""><span style=""font-family:Arial"">NOTE: If thawing cakes, thaw under refrigeration or in microwave for 45 seconds on high.</span></span></span></p>

<h4>&nbsp;</h4>
","<p>crab meat, mayonnaise (soybean oil, egg and egg yolk, water, sugar, vinegar, salt, mustard powder, acetic acid, xanthan gum), sauce (milk, unsalted butter [cream, lactic acid], unbleached wheat flour, green peppers, scallions, worcestershire sauce (distilled vinegar, molasses, corn syrup, water, salt, caramel color, sugar, spices, anchovies, tamarind, natural flavor [contains soy]), hot sauce [distilled vinegar, red pepper, salt]), bread crumbs (unbleached wheat flour, salt, yeast), eggs, brown mustard (distilled vinegar, no. 1 grade mustard seed, water, salt, spices, turmeric, natural flavor), seasoning (celery salt [salt, celery seed], spices [including red pepper and black pepper], paprika), scallions, parsley. Contains: crab, soy, eggs, milk, anchovies and wheat.</p>
",Crunchy Panko Breaded Crab Cakes,5.71 x 2.56 x 8.62,2 CARTONS,"<ul>
	<li>Made with fresh crab meat from steamed crabs.</li>
	<li>Fresh crab meat is black light inspected.</li>
	<li>Serves as a base; flexibility for numerous menu options.</li>
	<li>Flavor is mild -&nbsp;opportunity to personalize with other ingredients.</li>
	<li>Cryogenically frozen for&nbsp;better texture, appearance and fresh flavor.</li>
</ul>
",Thailand,"Bake,Broil,Deep Fry,Saute",,"Business & Industry,Education,Healthcare,On-site - Travel and Leisure,On-site – Casinos,On-site – Lodging,Other – Catering,Other – Commissary,Other – Vending,Restaurants - Casual Dining,Restaurants - Fast Casual,Restaurants - Fine Dining,Restaurants - Quick Service,Restaurants – Catering,Restaurants – Midscale,Retail - Cash and Carry,Retail - Service Deli","Dinner,Lunch,Snack",Handy Seafood,Carnival,3 OZ. <,Crab Cakes,NFI Crab Council,"Foodservice, Retail Service Deli",Crustacean Shellfish
3043040,Classic crab cake,"<p>It doesn’t get any better than this! Handy’s Classic Crab Cakes feature generous lumps of sweet fresh crab meat, spices and seasonings for a traditional Maryland-style treat. All Handy crab cakes are gently hand-formed for a true homemade experience.&nbsp;</p>
",3043040,10073994430402,73994430405,"<p>The crab cakes contained in this package are uncooked and should be cooked until heated through to an internal temperature of 160°F. &nbsp;Depending on the number of portions prepared and equipment variances, cooking times may require adjustment.</p>

<p>• SUGGESTED COOKING INSTRUCTIONS •<br />
SAUTÉ - Cook in 2 tbsp. of oil on medium heat. Turn cakes over once during cooking.<br />
• 8-10 minutes from thawed &nbsp;• Cooking from frozen not recommended</p>

<p>BAKE - Preheat oven. Spray or coat pan with oil. &nbsp;Place pan on rack in middle of oven. Turn cakes over once during cooking. For convection ovens, reduce cooking&nbsp;time by approximately 1/3.&nbsp;<br />
&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;• 400°F for 14 - 16 minutes from thawed &nbsp;<br />
&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;• 400°F for 24 - 26 minutes from frozen</p>

<p>DEEP FRY - Heat oil to 325°F - 350°F.&nbsp;<br />
• 5 - 6 minutes from thawed &nbsp;• Cooking from frozen not recommended</p>

<p>If thawing cakes, thaw under refrigeration or in microwave for 45 seconds on high</p>

<p>• Preparación •<br />
El producto contenido en este paquete no está cocido y debe estar cocinado hasta que este totalmente caliente, a una temperatura interna de 160°F (71°C) antes de consumirlo. Los tiempos de calentamiento pueden variar dependiendo del numero de porciones a preparar y las variaciones de temperatura del microondas.</p>

<p>• Instrucciones de cocina sugeridas •<br />
Sartén - Cocine los pasteles de cangrejo en 2 cucharadas de aceite a fuego medio.&nbsp;Voltee los pasteles una vez durante la cocción.<br />
• 8 - 10 minutos de descongelado<br />
• No se recomienda cocinar congelado<br />
Hornear - Precalentar el horno. Poner producto en una refractaria o una bandeja y colocarlo en el medio del horno. Voltee los pasteles de cangrejo una vez durante la cocción. Para hornos de convección, reduzca el tiempo de cocción por aproximadamente 1/3.<br />
• 400°F (204°C) 14 - 16 minutos de descongelado<br />
• 400°F (204°C) 24 - 26 minutos de congelado<br />
Freír Calentar el aceite hasta llegar a una temperatura de 325°F (163°C) - 350°F (177°C).<br />
• 5 - 6 minutos de descongelado<br />
• No se recomienda cocinar este producto directamente congelado</p>

<p>Al descongelar el producto, descongele bajo refrigeración, o en el microondas a temperatura alta por 45 segundos. &nbsp;</p>

<p>Note:&nbsp;When preparing our crab cakes, we hand-inspect all crab meat to remove particles of shell.&nbsp;&nbsp;Despite our close inspection, small particles may occasionally be missed, and it may be possible to find some pieces of shell.</p>
","<p>INGREDIENTS: CRAB MEAT, MAYONNAISE (SOYBEAN OIL, EGG AND EGG YOLK, WATER, SUGAR, VINEGAR, SALT, MUSTARD POWDER, ACETIC ACID, XANTHAN GUM), BREAD CRUMBS (UNBLEACHED WHEAT FLOUR, SALT, YEAST), EGGS, LEMON JUICE, MUSTARD (DISTILLED VINEGAR, WATER, NO.1 GRADE MUSTARD SEED, SALT, TURMERIC, PAPRIKA, SPICE, NATURAL FLAVOR, GARLIC POWDER), Seasoning (CELERY SALT [SALT, CELERY SEED], SPICES [INCLUDING RED PEPPER AND BLACK PEPPER], PAPRIKA), SUGAR, ONION POWDER, GARLIC POWDER, SALT, WORCESTERSHIRE SAUCE &nbsp;(DISTILLED VINEGAR, MOLASSES, CORN SYRUP, WATER, SALT, CARAMEL COLOR, SUGAR, SPICES, ANCHOVIES, NATURAL FLAVOR [CONTAINS SOY], TAMARIND), BLACK PEPPER, PARSLEY.&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;<br />
&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;<br />
CONTAINS: CRUSTACEAN SHELLFISH (CRAB), SOY, EGGS, WHEAT AND FISH (ANCHOVIES).</p>
",Crab cakes with generous lump crab meat,"5.91"" x 2.36"" x 9.06""",2 CARTONS,"<ul>
	<li>Made with fresh crab meat from steamed crabs -&nbsp;Meat has better texture and flavor.</li>
	<li>Fresh crab meat is black light inspected -&nbsp;Shell fragments are virtually non-existent.</li>
	<li>Handmade&nbsp;for that&nbsp;back-of-the-house appearance.</li>
	<li>Portion control for&nbsp;consistent plate coverage and predictable food cost.</li>
	<li>Cryogenically frozen for&nbsp;better texture, appearance and fresh flavor.</li>
	<li>Ready to cook -&nbsp;No preparation.</li>
</ul>
",Thailand,"Bake,Deep Fry,Saute",,"Business & Industry,Education - Colleges and Universities,Education - K-12 School,Healthcare - Long Term Care,Healthcare - Senior Living Restaurants,Healthcare – Hospitals,On-site - Travel and Leisure,On-site – Casinos,On-site – Lodging,Other – Catering,Other – Commissary,Other – Vending,Restaurants - Casual Dining,Restaurants - Fast Casual,Restaurants - Fine Dining,Restaurants - Quick Service,Restaurants – Catering,Restaurants – Midscale,Retail - Cash and Carry,Retail - Convenient Stores,Retail - Service Deli,Retail - Super Market","Breakfast,Brunch,Dinner,Lunch,Snack",Handy Seafood,Classic,3 OZ. +,Crab Cakes,NFI Crab Council,"Foodservice, Retail Service Deli",Crustacean Shellfish
4103000,Cocktail claw fingers,"<p>Our Crab Claw Fingers (Portunus spp) from South East Asia are available year round.</p>
",4103000,10073994030008,73994030001,,"<p>crab meat (portunus spp). Contains sodium acid pyrophosphate to prevent the formation of struvite crystals.</p>
",Perfect for Appetizers and Crab Cocktails,,12 BAGS,"<p>Delicately handled to keep the leg meat attached to the claw. These claw fingers are IQF Frozen and perfect for your next gathering.</p>
","Thailand, Indonesia",Ready to Eat,Claws,"Business & Industry,Education,Healthcare,On-site - Travel and Leisure,On-site – Casinos,On-site – Lodging,Other – Catering,Other – Commissary,Other – Vending,Restaurants - Casual Dining,Restaurants - Fast Casual,Restaurants - Fine Dining,Restaurants - Quick Service,Restaurants – Catering,Restaurants – Midscale","Dinner,Lunch,Snack",Handy Seafood,PELAGICUS,,Crab Meat,"DNA,NFI Crab Council,Ready to Eat","Foodservice, Retail Service Deli",Crustacean Shellfish
4103010,Cocktail claw fingers,"<p>Our Crab Claw Fingers (Portunus spp) from South East Asia are available year round and have been delicately handled to keep the leg meat attached to the claw. These claw fingers are IQF Frozen and perfect for your next gathering.</p>
",4103010,10073994030107,73994030100,,"<p>crab meat (portunus spp). Contains all-natural sodium acid pyrophosphate to prevent the formation of struvite crystals.</p>
",Perfect for appetizers and crab cocktails,BAG,12 Bags,,"Thailand, indonesia",Ready to Eat,Claws,"Business & Industry,Education,Healthcare,On-site - Travel and Leisure,On-site – Casinos,On-site – Lodging,Other – Catering,Other – Commissary,Other – Vending,Restaurants - Casual Dining,Restaurants - Fast Casual,Restaurants - Fine Dining,Restaurants - Quick Service,Restaurants – Catering,Restaurants – Midscale","Appetizer,Dinner,Lunch,Snack",Handy Seafood,PELAGICUS,,Crab Meat,"DNA,NFI Crab Council,Ready to Eat","Foodservice, Retail Service Deli",Crustacean Shellfish
5102000,Coconut Breaded Shrimp,"<p>Handy's Breaded Coconut Shrimp are premium shrimp hand-dipped in a sweet coconut batter, then coated with natural shredded coconut and panko bread crumbs. &nbsp;The crispy coconut coating adds a delicious crunch to every bite. &nbsp;Coconut Breaded Shrimp are perfect served alone or paired with a sweet dipping sauce.&nbsp;</p>
",5102000,10073994020009,73994020002,"<p>The&nbsp;Breaded Coconut Shrimp contained in this package are parfried&nbsp;and should be cooked until heated through to an internal temperature of 160°F.</p>

<p>BAKE -&nbsp;Preheat oven to 425°F. Spray or coat pan with oil. Place shrimp on pan. Place pan on rack in middle of oven. &nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;<br />
• 12 - 14 minutes from frozen &nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;<br />
• Cooking from thawed not recommended &nbsp;</p>

<p>DEEP FRY - Heat oil to 350°F. &nbsp; &nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;<br />
• 3 - 4 minutes from frozen &nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;<br />
• Cooking from thawed not recommended</p>
","<p>INGREDIENTS: SHRIMP (WATER, SALT), BREADER (DESICCATED COCONUT, BREADCRUMB [UNBLEACHED WHEAT FLOUR, SALT, YEAST, SUGAR]), BATTER (WATER, UNBLEACHED WHEAT FLOUR, SUGAR, CORN STARCH, COCONUT POWDER, SALT, DISODIUM DIPHOSPHATE, SODIUM BICARBONATE), PRE-DUST (MODIFIED TAPIOCA STARCH, SUGAR, CRACKERMEAL [UNBLEACHED WHEAT FLOUR, SALT, DEXTROSE], UNBLEACHED WHEAT FLOUR, WHEAT GLUTEN, SALT, SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, YEAST EXTRACT, NATURAL COCONUT FLAVOURING, ONION). PARFRIED IN FULLY REFINED SOYBEAN OIL CONTAINS: CRUSTACEAN (SHRIMP), WHEAT, COCONUT AND SOY</p>
",Premium plump shrimp paired with a crunchy coconut coating,"10.87"" x 7.20"" x 3.54""",2 cartons,"<ul>
	<li>Premium chemical-free Vannamei&nbsp;shrimp. &nbsp;</li>
	<li>26/30 count per pound raw shrimp.</li>
	<li>Shrimp breaded for a 25g average finished product size.</li>
	<li>Clean tail torpedo&nbsp;shrimp&nbsp;adds visual appeal and&nbsp;uniqueness.</li>
	<li>Shrimp coated with&nbsp;coconut panko for great flavor,&nbsp;texture and crunch.</li>
	<li>Cryogenically frozen, giving a&nbsp;better texture, appearance and fresh flavor.</li>
	<li>Handmade for a ""back of the house"" appearance.</li>
	<li>Cook from frozen -&nbsp;no prep time and no waste.</li>
	<li>Serve with various sauces as an appetizer, entree or salad topper.</li>
</ul>
",Indonesia,"Bake,Deep Fry",,"Business & Industry,Education,Education - Colleges and Universities,Education - K-12 School,Foodservice Segment,Healthcare,Healthcare - Long Term Care,Healthcare - Senior Living Restaurants,Healthcare – Hospitals,On-site - Travel and Leisure,On-site – Casinos,On-site – Lodging,Other – Catering,Other – Commissary,Other – Vending,Restaurants - Casual Dining,Restaurants - Fast Casual,Restaurants - Fine Dining,Restaurants - Quick Service,Restaurants - Quick Service.,Restaurants – Catering,Restaurants – Midscale,Retail - Cash and Carry,Retail - Convenient Stores,Retail - Service Deli,Retail - Super Market,Retail - Warehouse Club,Retail / Club Type","Add-on,Appetizer,Dinner,Entrée,Lunch,Snack",Handy Seafood,Unique & Trendy,,"Appetizers,Shrimp",BAP logo,"Foodservice, Retail Service Deli",Crustacean Shellfish
3804010,Crab house crab cakes,"<p>Crab House Crab Cakes offer crab meat, fresh vegetables and a special blend of seasonings for a fun, colorful treat. All Crab House Crab Cakes are gently hand-formed for a true homemade experience.</p>
",3804010,10073994011847,73994011840,"<p>The Crab Cakes are uncooked and should be cooked until heated through to an internal temperature of 160°F. Depending on the number of portions prepared and equipment variances, cooking times may require adjustment.</p>

<h4>SAUTÉ</h4>

<p>Cook in 2 tbsp. of oil on medium-low heat. Turn cakes over once during cooking.</p>

<ul>
	<li>4 minutes from thawed</li>
	<li>Cooking from frozen not recommended</li>
</ul>

<h4>BROIL</h4>

<p>Spray or coat pan with oil. Place pan on rack in middle of oven. Turn cakes over once during cooking.</p>

<ul>
	<li>4 minutes from thawed</li>
	<li>Cooking from frozen not recommended</li>
</ul>

<h4>BAKE</h4>

<p>Place baking pan on rack in middle of oven; preheat oven. Spray or coat PREHEATED&nbsp;baking pan with oil before placing cakes on the pan. Turn cakes over once during cooking. For convection ovens, reduce cooking time by approximately 1/3.</p>

<ul>
	<li>350°F for 13-15 minutes from thawed</li>
	<li>375°F for 18-20 minutes from frozen</li>
</ul>

<h4>DEEP FRY</h4>

<p>Heat oil to 350°F.</p>

<ul>
	<li>2-3 minutes from thawed</li>
	<li>Cooking from frozen not recommended</li>
</ul>

<p>If thawing cakes, thaw under refrigeration or in microwave for 45 seconds on high.</p>

<p>&nbsp;</p>
","<p>crab meat, mayonnaise (soybean oil, eggs, vinegar, salt, mustard, sugar, water), bread crumbs (unbleached wheat flour, salt, yeast), fish protein (water, fish paste [threadfin bream {itoyori fish}, polyphosphate, sugar], potato starch, modified tapioca starch, sugar, egg whites, salt, soybean oil, contains 1% or less of: natural and artificial flavors [crab flavor, extract and/or powder, glucose syrup, ethyl alcohol, glycerin, caramel color, dimethyl sulfide, dextrin, glycine, disodium inosinate, disodium succinate, xanthan gum, hydrolysis vegetable protein {hvp}, disodium guanylate], red color [carmine], paprika [for color]), textured wheat protein (wheat gluten, wheat starch, processing aid [phosphate e450 {v}], processing aid [mixed tocopherol e306]), water, eggs, yellow onions, green peppers, red peppers, mustard (distilled vinegar, water, no. 1 grade mustard seed, salt, turmeric, paprika, spices, natural flavor, garlic powder), seasoning (celery salt [salt, celery seed], spices [including red pepper and black pepper], paprika), baking powder (sodium acid pyrophosphate, mono calcium phosphate, sodium bicarbonate, tapioca starch), worcestershire sauce (distilled vinegar, molasses, corn syrup, water, salt, caramel color, sugar, spices, anchovies, tamarind, natural flavor [contains soy]), artificial flavor, garlic powder, onion powder, sugar, white pepper, parsley. Contains: crab, fish, wheat, eggs and soy.</p>
",Crab Meat and Fresh Vegetables Create a Tasty Treat,7 x 3.5 x 1.5,12 CARTONS,"<ul>
	<li>Value priced&nbsp;</li>
	<li>Made with fresh crab meat from steamed crabs -&nbsp;Meat has better texture and flavor</li>
	<li>Fresh Crab meat is black light inspected -&nbsp; Shell fragments are virtually non- existent</li>
	<li>Cryogenically frozen -&nbsp;Better texture, appearance and fresh flavor</li>
</ul>
",Indonesia,"Bake,Broil,Deep Fry,Saute",,"Retail - Cash and Carry,Retail - Convenient Stores,Retail - Service Deli,Retail - Super Market,Retail - Warehouse Club","Dinner,Lunch,Snack",Handy Seafood,Crab House,3 OZ. <,Crab Cakes,"NFI Crab Council,Ready to Eat",Retail,Crustacean Shellfish
3851000,Crab house gluten free crab cake,"<p>Crab House by Handy brings great taste to gluten-free crab cakes. Our hand-formed sweet meaty cakes feature fresh crab meat, seafood and our signature blend of spices.&nbsp; You’d never guess they’re gluten-free!&nbsp;Certified by Gluten Free Certification Organization (GFCO).</p>
",3851000,10073994004283,73994385101,"<h4>BAKE</h4>

<p>Preheat oven. Spray or coat pan with oil. Place pan on rack in middle of oven. Turn cakes over once during cooking. For convection ovens, reduce cooking time by approximately 1/3.</p>

<ul>
	<li>400°F for 10-12 minutes from thawed</li>
	<li>350°F for 20-22 minutes from frozen</li>
</ul>

<h4>SAUTÉ</h4>

<p>Cook in 2 tbsp. of oil on medium heat. Turn cakes over once during cooking.</p>

<ul>
	<li>4-5 minutes from thawed</li>
	<li>Cooking from frozen not recommended</li>
</ul>

<h4>BROIL</h4>

<p>Spray or coat pan with oil. Place pan on rack in middle of oven. Turn cakes over once during cooking..</p>

<ul>
	<li>7-8 minutes from thawed</li>
	<li>10-11 minutes from frozen.</li>
</ul>

<p>If thawing cakes, thaw under refrigeration or in microwave for 45 seconds on high.&nbsp;</p>
","<p>crab meat, fish protein (water, surimi [processed white fish meat {threadfin bream}, sugar, eggs, disodium diphosphate, pentasodium triphosphate, sodium polyphosphate (to promote the retention of moisture)], tapioca starch, sugar, soy protein, palm oil, salt, crab extract, crab flavor, calcium carbonate [stabilizer]), mayonnaise (soybean oil, egg and egg yolk, water, sugar, vinegar, salt, mustard powder, acetic acid, xanthan gum), gluten free bread crumbs (rice flour, water, egg, tapioca starch, potato starch, sugar, refined soybean oil, salt, yeast, guar gum), eggs and egg white, lemon juice, scallions, red peppers, yellow mustard (distilled vinegar, water, no. 1 grade mustard seed, salt, turmeric, paprika, spice, natural flavors, garlic powder), worcestershire sauce (distilled vinegar, molasses, corn syrup, water, salt, caramel color, sugar, spices, anchovies, natural flavor [contains soy], tamarind), seasoning (celery salt [salt, celery seed], spices [including red pepper and black pepper], paprika), corn starch. Contains: crustacean (from crab, crab extract &amp; flavor), fish (threadfin bream &amp; anchovies), soy, eggs.</p>
",Sweet meaty delicious crab cakes,5.9 x 2.4 x 9,2 CARTONS,"<ul>
	<li>No gluten!! Offers menu option to growing market segment.</li>
	<li>Value priced certified by renowned gfco (gluten-free certification organization) guarantees that crab cakes are gluten-free</li>
	<li>Made with fresh crab meat from steamed crabs meat has firm texture and sweeter flavor</li>
	<li>Black light inspected shell virtually non-existent</li>
	<li>Handmade back-of-the-house appearance</li>
	<li>Portion control consistent plate appearance and predictable food cost cryogenically frozen better texture, appearance and flavor</li>
	<li>Numerous cooking options flexibility in the kitchen</li>
</ul>
",Thailand,Saute,,"Business & Industry,Education - Colleges and Universities,Education - K-12 School,Healthcare - Long Term Care,Healthcare - Senior Living Restaurants,Healthcare – Hospitals,On-site - Travel and Leisure,On-site – Casinos,On-site – Lodging,Other – Catering,Other – Commissary,Other – Vending,Restaurants - Casual Dining,Restaurants - Fast Casual,Restaurants - Fine Dining,Restaurants - Quick Service,Restaurants – Catering,Restaurants – Midscale,Retail - Cash and Carry,Retail - Convenient Stores,Retail - Service Deli,Retail - Super Market","Breakfast,Brunch,Dinner,Lunch,Snack",Handy Seafood,"Crab House,Gluten-Free,Healthy",3 OZ. <,"Crab Cakes,Healthy","GFCO,NFI Crab Council","Foodservice, Retail Service Deli",Crustacean Shellfish
